Ref,Val,Package,PosX,PosY,Rot,Side
"D35","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",12.500000,87.500000,0.000000,top
"D36","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",12.500000,62.500000,0.000000,top
"D37","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",12.500000,37.500000,0.000000,top
"D38","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",12.500000,12.500000,0.000000,top
"D39","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",37.500000,87.500000,0.000000,top
"D40","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",37.500000,62.500000,0.000000,top
"D41","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",37.500000,37.500000,0.000000,top
"D42","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",37.500000,12.500000,0.000000,top
"D43","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",62.500000,87.500000,0.000000,top
"D44","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",62.500000,62.500000,0.000000,top
"D45","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",62.500000,37.500000,0.000000,top
"D46","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",62.500000,12.500000,0.000000,top
"D47","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",87.500000,87.500000,0.000000,top
"D48","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",87.500000,62.500000,0.000000,top
"D49","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",87.500000,37.500000,0.000000,top
"D50","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",87.500000,12.500000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",93.400000,28.400000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",21.200000,6.000000,0.000000,top
"REF**","Fiducial_1mm_Mask2mm","Fiducial_1mm_Mask2mm",7.400000,77.000000,0.000000,top
"SW1","SW_Push","silicone_key_contact",12.500000,87.500000,0.000000,top
"SW2","SW_Push","silicone_key_contact_mirrored",37.500000,87.500000,0.000000,top
"SW3","SW_Push","silicone_key_contact",62.500000,87.500000,0.000000,top
"SW4","SW_Push","silicone_key_contact",87.500000,87.500000,0.000000,top
"SW5","SW_Push","silicone_key_contact",12.500000,62.500000,0.000000,top
"SW6","SW_Push","silicone_key_contact_mirrored",37.500000,62.500000,0.000000,top
"SW7","SW_Push","silicone_key_contact",62.500000,62.500000,0.000000,top
"SW8","SW_Push","silicone_key_contact_mirrored",87.500000,62.500000,0.000000,top
"SW9","SW_Push","silicone_key_contact",12.500000,37.500000,0.000000,top
"SW10","SW_Push","silicone_key_contact_mirrored",37.500000,37.500000,0.000000,top
"SW11","SW_Push","silicone_key_contact",62.500000,37.500000,0.000000,top
"SW12","SW_Push","silicone_key_contact_mirrored",87.500000,37.500000,0.000000,top
"SW13","SW_Push","silicone_key_contact",12.500000,12.500000,0.000000,top
"SW14","SW_Push","silicone_key_contact_mirrored",37.500000,12.500000,0.000000,top
"SW15","SW_Push","silicone_key_contact",62.500000,12.500000,0.000000,top
"SW16","SW_Push","silicone_key_contact_mirrored",87.500000,12.500000,0.000000,top
