Ref,Val,Package,PosX,PosY,Rot,Side
"D35","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",12.500000,87.500000,0.000000,top
"D36","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",12.500000,62.500000,0.000000,top
"D37","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",12.500000,37.500000,0.000000,top
"D38","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",12.500000,12.500000,0.000000,top
"D39","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",37.500000,87.500000,0.000000,top
"D40","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",37.500000,62.500000,0.000000,top
"D41","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",37.500000,37.500000,0.000000,top
"D42","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",37.500000,12.500000,0.000000,top
"D43","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",62.500000,87.500000,0.000000,top
"D44","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",62.500000,62.500000,0.000000,top
"D45","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",62.500000,37.500000,0.000000,top
"D46","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",62.500000,12.500000,0.000000,top
"D47","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",87.500000,87.500000,0.000000,top
"D48","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",87.500000,62.500000,0.000000,top
"D49","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",87.500000,37.500000,0.000000,top
"D50","LL-R3528RGBC-008-B","LED_Cree-PLCC4_3.2x2.8mm_CCW",87.500000,12.500000,0.000000,top

